outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Adoption;Female;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;No;1095;Cat;False;;black;;domestic longhair;
Transfer;Male;No;30;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;orange;;domestic shorthair;
Return to Owner;Male;Yes;3650;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Male;Yes;1095;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;3285;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;blue;blue;domestic mediumhair;
Adoption;Female;Yes;180;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;1825;Cat;False;calico;Breed Specific;;domestic longhair;
Transfer;Female;Yes;4;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tortie;Breed Specific;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;240;Cat;True;point;silver lynx;;siamese;
Adoption;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;1095;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;1460;Cat;False;;black;;domestic mediumhair;
Transfer;Male;No;14;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;1095;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;365;Cat;True;;black;;american shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;120;Kitten;False;calico;Breed Specific;white;domestic mediumhair;
Adoption;Female;Yes;180;Cat;False;;black;white;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;No;60;Kitten;True;tabby;gray ;black;american shorthair;
Transfer;Female;No;7;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;300;Cat;False;;brown;white;domestic longhair;
Adoption;Male;Yes;90;Kitten;False;;white;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;blue;white;domestic mediumhair;
Euthanasia;Male;No;150;Kitten;True;point;lynx;;siamese;
Adoption;Female;Yes;60;Kitten;False;;white;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;False;;blue;;domestic shorthair;
Euthanasia;Female;Yes;1825;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;4015;Cat;False;;white;;domestic longhair;
Adoption;Male;Yes;730;Cat;False;point;lynx;;himalayan;
Adoption;Female;Yes;90;Kitten;True;tabby;brown;;bengal;domestic shorthair
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Died;Female;No;30;Kitten;False;calico;Breed Specific;;domestic longhair;
Transfer;Male;No;210;Cat;False;tabby;orange ;white;domestic shorthair;
Euthanasia;Female;No;365;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;6;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;180;Cat;True;;black;black;american shorthair;
Euthanasia;Male;No;365;Cat;False;;blue;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;white;black;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tabby;brown ;white;domestic longhair;
Adoption;Male;Yes;365;Cat;False;;black;white;domestic mediumhair;
Adoption;Male;Yes;120;Kitten;False;tabby;blue;;domestic mediumhair;
Transfer;Male;No;21;Kitten;False;;white;gray;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;150;Kitten;False;tabby;brown;;domestic mediumhair;
Adoption;Female;Yes;365;Cat;False;;white;black;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;2920;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;tabby;orange;;manx;
Adoption;Male;Yes;1095;Cat;False;;black;white;domestic shorthair;
Transfer;Male;No;90;Kitten;False;;black;;domestic shorthair;
Return to Owner;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;point;lynx;;siamese;
Transfer;Female;No;730;Cat;False;;blue;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;white;domestic longhair;
Adoption;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;chocolate;;domestic mediumhair;
Transfer;Female;No;365;Cat;False;point;lynx ;white;domestic mediumhair;
Transfer;Female;Yes;730;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;cream ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic longhair;
Transfer;Female;No;14;Kitten;False;point;lynx;;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;4015;Cat;False;;orange;;domestic mediumhair;
Transfer;Male;Yes;3650;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;2555;Cat;True;tabby;orange ;orange;american shorthair;
Adoption;Female;Yes;2920;Cat;False;tabby;brown;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;No;0;Kitten;True;;blue;white;american shorthair;
Transfer;Female;Yes;21;Kitten;False;;blue;white;domestic shorthair;
Euthanasia;Female;Yes;730;Cat;False;;white;orange;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;3;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Euthanasia;Female;Yes;7;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;4380;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Euthanasia;Female;No;730;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic longhair;
Transfer;Male;No;3;Kitten;True;tabby;orange ;white;american shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;point;flame;;siamese;
Adoption;Male;Yes;2190;Cat;False;tabby;orange ;white;domestic longhair;
Euthanasia;Female;Yes;21;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;300;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;blue;;domestic mediumhair;
Adoption;Female;No;730;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;28;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;90;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;False;;black;;domestic longhair;
Transfer;Female;Yes;1460;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;True;point;lynx ;white;siamese;
Transfer;Female;No;21;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;270;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;1095;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic mediumhair;
Return to Owner;Male;Yes;1460;Cat;False;tabby;brown;;domestic longhair;
Transfer;Male;Yes;330;Cat;False;smoke;black;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;120;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;150;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;1095;Cat;True;calico;Breed Specific;;siamese;
Transfer;Female;No;3285;Cat;False;tabby;brown;;domestic mediumhair;
Adoption;Female;Yes;1095;Cat;False;calico;Breed Specific;;domestic mediumhair;
Transfer;Female;Yes;7;Kitten;False;calico;Breed Specific;;domestic shorthair;
Euthanasia;Female;No;60;Kitten;False;point;seal;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic mediumhair;
Euthanasia;Male;No;28;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;180;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;2190;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;tabby;white;brown;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;blue;;domestic shorthair;
Return to Owner;Female;Yes;2190;Cat;False;;blue;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;blue;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;black;;domestic shorthair;
Transfer;Female;Yes;1;Kitten;False;tabby;orange;;domestic shorthair;
Return to Owner;Female;Yes;3285;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;white;orange;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Male;No;2555;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;;black;;domestic mediumhair;
Adoption;Male;Yes;150;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;point;lynx;;domestic mediumhair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;120;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;150;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;blue;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue ;tan;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;1;Kitten;False;;black;;domestic shorthair;
Return to Owner;Female;Yes;1095;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;white;blue;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic longhair;
Adoption;Female;No;30;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;tabby;orange;;domestic shorthair;
Died;Male;Yes;4015;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;;white;black;domestic shorthair;
Transfer;Male;No;1825;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;brown ;black;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;2555;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;No;1095;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;2;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;True;point;lynx;;siamese;
Transfer;Male;No;120;Kitten;False;tabby;white;brown;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;gray;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;brown ;white;domestic mediumhair;
Transfer;Female;No;14;Kitten;False;;orange;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;2920;Cat;True;tabby;brown;;norwegian forest cat;
Adoption;Female;Yes;30;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;240;Cat;False;tabby;white;brown;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;1095;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;Yes;1825;Cat;True;tortie;Breed Specific;;siamese;
Adoption;Female;No;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;black;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;1825;Cat;False;tabby;blue ;white;domestic longhair;
Transfer;Male;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;white;black;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
